ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,2.AS,KAN+2.AS
Alexandros Katranis,Piast Gliwice,0,2,2,0,1,0,0,2
Mateusz Żyro,Stal Mielec,2,0,2,0,0,0,1,3
Raphael Rossi,Radomiak Radom,2,0,2,0,0,2,3,5
Artem Putiwcew,Bruk-Bet,1,1,2,0,0,0,0,2
Mattias Johansson,Legia Warszawa,1,1,2,1,0,1,2,4
Jakub Żubrowski,Zagłębie Lubin,1,1,2,0,0,1,0,2
Koki Hinokio,Stal/Zagłębie,1,1,2,0,0,0,0,2
Karol Podliński,Zagłębie Lubin,0,2,2,0,2,0,0,2
Konrad Matuszewski,Warta Poznań,1,1,2,0,0,0,0,2
Mateusz Łęgowski,Pogoń Szczecin,1,1,2,1,1,0,1,3
Dawid Szymonowicz,Warta Poznań,2,0,2,0,0,2,1,3
Michał Kopczyński,Warta Poznań,2,0,2,1,0,1,1,3
Jayson Papeau,Warta Poznań,0,2,2,0,0,0,1,3
Deian Sorescu,Raków Częstochowa,1,1,2,0,0,1,2,4
Zdenek Ondrasek,Wisła Kraków,2,0,2,0,0,1,1,3
Miłosz Matysik,Jagiellonia,1,1,2,0,0,1,0,2
Jakub Kiełb,Warta Poznań,0,2,2,0,0,0,0,2
Dani Pacheco,Górnik Zabrze,1,1,2,1,1,0,1,3
Caye Quintana,Śląsk Wrocław,2,0,2,0,0,1,1,3
Tomasz Pieńko,Zagłębie Lubin,1,1,2,1,1,0,0,2
Tomas Huk,Piast Gliwice,2,0,2,0,0,1,1,3
Alexandre Guedes,Raków Częstochowa,0,1,1,0,1,0,0,1
Bartosz Kopacz,Lechia/Zagłębie,0,1,1,0,0,0,1,2
Dominik Sokół,Radomiak Radom,1,0,1,1,0,0,0,1
Ernest Terpiłowski,Bruk-Bet,1,0,1,0,0,1,1,2
Gieorgij Żukow,Wisła Kraków,1,0,1,0,0,0,2,3
Leandro,Górnik Łęczna,0,1,1,0,0,0,3,4
Maciej Sadlok,Wisła Kraków,1,0,1,0,0,0,0,1
Mateusz Czyżycki,Warta Poznań,1,0,1,1,0,0,2,3
Mateusz Młyński,Wisła Kraków,1,0,1,1,0,0,1,2
Michał Mak,Górnik Łęczna,0,1,1,0,0,0,0,1
Mykoła Musolitin,Lechia Gdańsk,0,1,1,0,1,0,0,1
Wiktor Długosz,Raków Częstochowa,1,0,1,1,0,0,3,4
Adrian Gryszkiewicz,Górnik Zabrze,1,0,1,0,0,0,2,3
Jonathan de Amo,Stal/Górnik Ł,1,0,1,0,0,1,1,2
Aleksandyr Kolew,Stal Mielec,1,0,1,0,0,1,0,1
Rafał Pietrzak,Lechia Gdańsk,0,1,1,0,1,0,2,3
Luquinhas,Legia Warszawa,0,1,1,0,0,0,2,3
Jakub Rzeźniczak,Wisła Płock,0,1,1,0,0,0,1,2
Bogdan Tiru,Jagiellonia,0,1,1,0,1,0,1,2
Mario Rondon,Radomiak Radom,1,0,1,1,0,1,1,2
Aschraf El Mahdioui,Wisła Kraków,1,0,1,0,0,1,2,3
