ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Patryk Klimala,Jagiellonia,"0,0%","33,3%","50,0%",18,6,"33,3%",1,"18,00","5,6%",4
Łukasz Kosakiewicz,Korona Kielce,"0,0%","33,3%","50,0%",19,6,"31,6%",0,-,"0,0%",45
William Remy,Legia Warszawa,-,"22,2%","36,4%",20,6,"30,0%",2,"10,00","10,0%",2
Milan Dimun,Cracovia,"11,1%","27,3%","40,0%",25,6,"24,0%",1,"25,00","4,0%",18
Damian Gąska,Śląsk Wrocław,"0,0%","20,8%","100,0%",28,6,"21,4%",0,-,"0,0%",29
Damian Rasak,Wisła Płock,"0,0%","18,2%","100,0%",29,6,"20,7%",0,-,"0,0%",14
Marko Vejinović,Arka Gdynia,"16,7%","18,2%","100,0%",29,6,"20,7%",5,"5,80","17,2%",22
Augusto,Śląsk Wrocław,"83,3%",-,-,6,5,"83,3%",2,"3,00","33,3%",12
Andrij Bohdanow,Arka Gdynia,"75,0%","33,3%",-,10,5,"50,0%",0,-,"0,0%",1
Michał Żyro,Pogoń Szczecin,"40,0%","0,0%","75,0%",10,5,"50,0%",1,"10,00","10,0%",1
Jakub Błaszczykowski,Wisła Kraków,"25,0%","60,0%","100,0%",10,5,"50,0%",5,"2,00","50,0%",12
Sebastian Walukiewicz,Pogoń Szczecin,"0,0%","50,0%","66,7%",11,5,"45,5%",1,"11,00","9,1%",6
Karol Angielski,Wisła Płock,"44,4%","50,0%","0,0%",12,5,"41,7%",2,"6,00","16,7%",2
Michael Gardawski,Korona Kielce,"33,3%","30,0%","100,0%",14,5,"35,7%",1,"14,00","7,1%",31
Adam Hlousek,Legia Warszawa,"0,0%","66,7%","50,0%",14,5,"35,7%",3,"4,67","21,4%",15
Patrik Mraz,Zagłębie Sosnowiec,"35,7%",-,-,14,5,"35,7%",1,"14,00","7,1%",13
Giorgi Gabedawa,Zagłębie Sosnowiec,"50,0%","50,0%","0,0%",14,5,"35,7%",3,"4,67","21,4%",8
Michał Mak,Lechia Gdańsk,"60,0%","20,0%","20,0%",15,5,"33,3%",2,"7,50","13,3%",8
Artur Jędrzejczyk,Legia Warszawa,"0,0%","0,0%","38,5%",15,5,"33,3%",3,"5,00","20,0%",7
Soufian Benyamina,Pogoń Szczecin,"0,0%","44,4%","20,0%",16,5,"31,3%",2,"8,00","12,5%",6
Piotr Malarczyk,Korona Kielce,-,"57,1%","10,0%",17,5,"29,4%",0,-,"0,0%",4
Jakub Mares,Zagłębie Lubin,"50,0%","9,1%",-,19,5,"26,3%",2,"9,50","10,5%",9
Michal Siplak,Cracovia,"33,3%","33,3%","0,0%",19,5,"26,3%",1,"19,00","5,3%",27
Giorgos Mygas,Zagłębie Sosnowiec,"20,0%","37,5%","0,0%",19,5,"26,3%",2,"9,50","10,5%",7
Tomas Podstawski,Pogoń Szczecin,"16,7%","20,0%",-,27,5,"18,5%",1,"27,00","3,7%",22
Oliver Petrak,Korona Kielce,"25,0%","11,8%","33,3%",28,5,"17,9%",0,-,"0,0%",19
Boris Sekulić,Górnik Zabrze,"100,0%","100,0%","100,0%",4,4,"100,0%",2,"2,00","50,0%",12
Matej Palcić,Wisła Kraków,-,"33,3%","100,0%",6,4,"66,7%",2,"3,00","33,3%",8
Timur Żamaletdinow,Lech Poznań,-,"57,1%",-,7,4,"57,1%",1,"7,00","14,3%",1
Paweł Brożek,Wisła Kraków,-,"66,7%","0,0%",8,4,"50,0%",2,"4,00","25,0%",6
Paweł Bochniewicz,Górnik Zabrze,"25,0%","100,0%","50,0%",9,4,"44,4%",1,"9,00","11,1%",7
Sebastian Strózik,Cracovia,-,"37,5%","100,0%",9,4,"44,4%",1,"9,00","11,1%",7
Adam Dźwigała,Wisła Płock,"100,0%","33,3%","20,0%",10,4,"40,0%",0,-,"0,0%",1
Bartosz Kopacz,Zagłębie Lubin,"66,7%","0,0%","40,0%",10,4,"40,0%",1,"10,00","10,0%",9
Marcin Wasilewski,Wisła Kraków,"0,0%","50,0%","42,9%",10,4,"40,0%",0,-,"0,0%",5
Marcus Vinicius,Arka Gdynia,"0,0%","57,1%","0,0%",10,4,"40,0%",1,"10,00","10,0%",3
Giannis Mystakidis,Górnik Zabrze,"0,0%","60,0%","100,0%",10,4,"40,0%",0,-,"0,0%",7
Jakub Łukowski,Wisła Płock,"100,0%","22,2%",-,11,4,"36,4%",2,"5,50","18,2%",7
Jose Kante,Legia Warszawa,"20,0%","0,0%","75,0%",12,4,"33,3%",2,"6,00","16,7%",6
Mateusz Piątkowski,Miedź Legnica,"0,0%","44,4%","0,0%",12,4,"33,3%",1,"12,00","8,3%",3
Łukasz Trałka,Lech Poznań,"0,0%","33,3%","50,0%",12,4,"33,3%",1,"12,00","8,3%",14
Tomasz Nawotka,Zagłębie Sosnowiec,"100,0%","27,3%",-,12,4,"33,3%",1,"12,00","8,3%",11
Wołodymyr Kostewycz,Lech Poznań,"27,3%","50,0%",-,13,4,"30,8%",1,"13,00","7,7%",38
Maciej Sadlok,Wisła Kraków,"27,3%","50,0%",-,13,4,"30,8%",0,-,"0,0%",14
Vullnet Basha,Wisła Kraków,"33,3%","27,3%",-,14,4,"28,6%",3,"4,67","21,4%",19
Elhajdi Djibril Pape Diaw,Korona Kielce,"50,0%","0,0%","27,3%",14,4,"28,6%",2,"7,00","14,3%",5
Gerard Badia,Piast Gliwice,"30,8%","0,0%",-,14,4,"28,6%",2,"7,00","14,3%",21
Vukan Savicević,Wisła Kraków,"50,0%","25,0%",-,14,4,"28,6%",2,"7,00","14,3%",21
Bartosz Kwiecień,Jagiellonia,-,"14,3%","37,5%",15,4,"26,7%",1,"15,00","6,7%",8
Ivan Marquez,Korona Kielce,-,"33,3%","16,7%",15,4,"26,7%",0,-,"0,0%",7
Lubambo Musonda,Śląsk Wrocław,"50,0%","0,0%","0,0%",16,4,"25,0%",0,-,"0,0%",11
Maciej Górski,Korona Kielce,"0,0%","42,9%","33,3%",17,4,"23,5%",2,"8,50","11,8%",8
Bartosz Slisz,Zagłębie Lubin,"0,0%","25,0%",-,17,4,"23,5%",0,-,"0,0%",8
Jakub Czerwiński,Piast Gliwice,-,"10,0%","37,5%",18,4,"22,2%",3,"6,00","16,7%",6
Mateusz Mak,Piast Gliwice,"37,5%","0,0%","25,0%",18,4,"22,2%",1,"18,00","5,6%",23
Kamil Wojtkowski,Wisła Kraków,"33,3%","14,3%","100,0%",18,4,"22,2%",1,"18,00","5,6%",8
Jakub Łabojko,Śląsk Wrocław,"42,9%","10,0%","0,0%",18,4,"22,2%",1,"18,00","5,6%",7
Martin Konczkowski,Piast Gliwice,"0,0%","25,0%","100,0%",19,4,"21,1%",0,-,"0,0%",42
Adam Banasiak,Zagłębie Sosnowiec,"20,0%",-,-,20,4,"20,0%",0,-,"0,0%",8
Spas Delew,Pogoń Szczecin,"50,0%","15,8%",-,21,4,"19,0%",2,"10,50","9,5%",11
Konrad Michalak,Lechia Gdańsk,"9,1%","30,0%","0,0%",22,4,"18,2%",1,"22,00","4,5%",14
Jakub Bartkowski,Wisła K/Pogoń,"0,0%","20,0%","33,3%",24,4,"16,7%",1,"24,00","4,2%",21
Damian Dąbrowski,Cracovia,"16,7%","15,8%",-,25,4,"16,0%",0,-,"0,0%",30
Steven Vitoria,Lechia Gdańsk,-,-,"100,0%",3,3,"100,0%",1,"3,00","33,3%",2
Adam Danch,Arka Gdynia,-,-,"100,0%",3,3,"100,0%",1,"3,00","33,3%",4
Patryk Sokołowski,Piast Gliwice,"100,0%","100,0%",-,3,3,"100,0%",1,"3,00","33,3%",1
Calo Oliveira,Wisła Płock,"75,0%","0,0%",-,5,3,"60,0%",1,"5,00","20,0%",2
Kornel Osyra,Miedź Legnica,-,"50,0%","66,7%",5,3,"60,0%",0,-,"0,0%",4
Paweł Stolarski,Lechia/Legia,"0,0%","60,0%",-,6,3,"50,0%",1,"6,00","16,7%",8
Piotr Tomasik,Lech Poznań,"50,0%","0,0%","100,0%",6,3,"50,0%",0,-,"0,0%",4
