ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Sasa Zivec,Piast Gliwice,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
Hubert Matynia,Pogoń Szczecin,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Listkowski,Pogoń Szczecin,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Bartłomiej Dudzic,Sandecja,4,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
Bartłomiej Kasprzak,Sandecja,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Igors Tarasovs,Śląsk Wrocław,4,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0
Kamil Vacek,Śląsk Wrocław,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Tim Rieder,Śląsk Wrocław,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Carlitos,Wisła Kraków,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Ivan Gonzalez,Wisła Kraków,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Bartkowski,Wisła Kraków,4,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Nikola Mitrović,Wisła Kraków,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
Rafał Boguski,Wisła Kraków,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Victor Perez,Wisła Kraków,4,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
Semir Stilić,Wisła Płock,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Bartosz Kopacz,Zagłębie Lubin,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Mares,Zagłębie Lubin,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
Jarosław Jach,Zagłębie Lubin,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
Ruben Jurado,Arka Gdynia,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
Yannick Kakoko,Arka Gdynia,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bartosz Śpiączka,Bruk-Bet,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Jan Mucha,Bruk-Bet,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Samuel Stefanik,Bruk-Bet,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Szymon Pawłowski,Bruk-Bet,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Vitalijs Maksimenko,Bruk-Bet,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Diego Ferraresso,Cracovia,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Javi Hernandez,Cracovia,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Michal Siplak,Cracovia,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
Milan Dimun,Cracovia,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Paweł Bochniewicz,Górnik Zabrze,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Karol Świderski,Jagiellonia,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Łukasz Sekulski,Jagiellonia,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Przemysław Frankowski,Jagiellonia,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Ken Kallaste,Korona Kielce,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Łukasz Kosakiewicz,Korona Kielce,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Nabil Aankour,Korona Kielce,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Radek Dejmek,Korona Kielce,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Maciej Gajos,Lech Poznań,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Nikola Vujadinović,Lech Poznań,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
Joao Oliveira,Lechia Gdańsk,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Michał Nalepa II,Lechia Gdańsk,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Mateusz Lewandowski,Lechia/Śląsk,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Pasquato,Legia Warszawa,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Krzysztof Mączyński,Legia Warszawa,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
