ZAWODNIK,KLUB,FAULE,FAULOWANY,SPALONE
Marian Kelemen,Jagiellonia,0,3,0
Dominik Hładun,Zagłębie Lubin,0,3,0
Thomas Dahne,Wisła Płock,0,3,0
Dobrivoj Rusov,Piast Gliwice,0,2,0
Krzysztof Szewczyk,Cracovia,0,2,0
Matus Putnocky,Lech Poznań,0,2,0
Grzegorz Sandomierski,Cracovia,0,2,0
Krzysztof Sobieraj,Arka Gdynia,0,2,0
Zlatan Alomerović,Korona Kielce,0,2,0
Michal Pesković,Cracovia,0,2,0
Wiktor Długosz,Korona Kielce,0,2,0
Dani Abalo,Korona Kielce,0,1,0
Mario Maloca,Lechia Gdańsk,0,1,0
Paul Parvulescu,Wisła Płock,0,1,0
Radosław Cierzniak,Legia Warszawa,0,1,0
Sebastian Steblecki,Cracovia,0,1,0
Maciej Gostomski,Korona Kielce,0,1,0
Nika Kwantaliani,Bruk-Bet,0,1,0
Dawid Pietrzkiewicz,Sandecja,0,1,0
Matthias Hamrol,Korona Kielce,0,1,0
