ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Łukasz Burliga,jagiellonia,8,1,"12,5%",1,2,0,"0,0%",0,"0,0%"
Hebert,Piast Gliwice,8,1,"12,5%",0,1,0,"0,0%",0,"0,0%"
Adam Wolniewicz,Górnik Zabrze,8,1,"12,5%",0,6,0,"0,0%",0,"0,0%"
Piotr Tomasik,Jagiellonia/Lech,8,1,"12,5%",0,5,0,"0,0%",0,"0,0%"
Domagoj Antolić,Legia Warszawa,8,1,"12,5%",1,4,0,"0,0%",0,"0,0%"
Adam Hlousek,Legia Warszawa,7,1,"14,3%",0,5,0,"0,0%",0,"0,0%"
Grzegorz Kuświk,Lechia Gdańsk,6,1,"16,7%",0,1,0,"0,0%",0,"0,0%"
Mateusz Matras,Lechia Gdańsk,6,1,"16,7%",1,1,0,"0,0%",0,"0,0%"
Kamil Pestka,Cracovia,6,1,"16,7%",0,4,0,"0,0%",0,"0,0%"
Denis Gojko,Piast Gliwice,5,1,"20,0%",0,2,0,"0,0%",0,"0,0%"
Vitalijs Maksimenko,Bruk-Bet,5,1,"20,0%",1,1,0,"0,0%",0,"0,0%"
Michał Nalepa II,Lechia Gdańsk,5,1,"20,0%",1,1,0,"0,0%",0,"0,0%"
Jakub Wawrzyniak,Lechia Gdańsk,5,1,"20,0%",0,3,0,"0,0%",0,"0,0%"
Ze Manuel,Wisła Kraków,5,1,"20,0%",0,1,0,"0,0%",0,"0,0%"
Kamil Mazek,Zagłębie Lubin,5,1,"20,0%",1,2,0,"0,0%",0,"0,0%"
Daniel Łuczak,Śląsk Wrocław,5,1,"20,0%",1,4,0,"0,0%",0,"0,0%"
