ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Blaz Kramer,Legia Warszawa,napastnik,52,2,12.05.2023,Jagiellonia,52,2,12.05.2023,Jagiellonia
Marco Terrazzino,Lechia Gdańsk,pomocnik,49,0,27.05.2023,Piast,49,0,27.05.2023,Piast
Oliwier Sławiński,Zagłębie Lubin,napastnik,49,3,-,-,49,3,-,-
Adrian Przyborek,Pogoń Szczecin,pomocnik,48,3,-,-,48,3,-,-
Emmanuel Agbor,Miedź Legnica,napastnik,45,1,-,-,45,1,-,-
Jakub Lutostański,Śląsk Wrocław,napastnik,45,3,-,-,45,3,-,-
Maciej Rosołek,Legia Warszawa,napastnik,44,0,27.05.2023,Śląsk,44,0,27.05.2023,Śląsk
Mateusz Łęgowski,Pogoń Szczecin,pomocnik,43,0,27.05.2023,Radomiak,0,0,27.05.2023,Radomiak
Tomasz Walczak,Wisła Płock,napastnik,43,9,-,-,43,9,-,-
Jakub Antczak,Lech Poznań,pomocnik,39,2,-,-,39,2,-,-
Luka Zahović,Pogoń Szczecin,napastnik,39,0,27.05.2023,Radomiak,39,0,27.05.2023,Radomiak
Fryderyk Gerbowski,Stal Mielec,pomocnik,36,0,27.05.2023,Warta,36,0,27.05.2023,Warta
Dawid Bałdyga,Śląsk Wrocław,napastnik,34,1,-,-,34,1,-,-
Marcus Godinho,Korona Kielce,pomocnik,32,2,12.05.2023,Piast,32,2,12.05.2023,Piast
Wojciech Łaski,Jagiellonia Białystok,pomocnik,29,0,29.01.2023,Piast,29,0,-,-
Koldo Obieta,Miedź Legnica,napastnik,27,1,21.05.2023,Śląsk,27,1,21.05.2023,Śląsk
Karol Knap,Cracovia,pomocnik,26,0,27.05.2023,Wisła P,26,0,27.05.2023,Wisła P
Jakub Łukowski,Korona Kielce,pomocnik,26,0,27.05.2023,Widzew,26,0,27.05.2023,Widzew
Filip Wilak,Lech Poznań,napastnik,26,3,-,-,26,3,-,-
Wiktor Kamiński,Warta Poznań,napastnik,23,2,-,-,23,2,-,-
Kacper Śmiglewski,Cracovia,napastnik,17,3,-,-,17,3,-,-
Tomasz Pieńko,Zagłębie Lubin,pomocnik,17,0,27.05.2023,Raków,17,0,27.05.2023,Raków
Krzysztof Kolanko,Górnik Zabrze,pomocnik,16,3,-,-,16,3,-,-
Patryk Makuch,Cracovia,napastnik,15,0,27.05.2023,Wisła P,15,0,27.05.2023,Wisła P
Martin Hasek,Wisła Płock,pomocnik,15,3,-,-,15,3,-,-
Gustav Berggren,Raków Częstochowa,pomocnik,14,0,27.05.2023,Zagłębie L,14,0,27.05.2023,Zagłębie L
Tobiasz Kubik,Raków Częstochowa,pomocnik,14,1,-,-,14,1,-,-
Nikodem Zielonka,Górnik Zabrze,napastnik,13,1,-,-,13,1,-,-
Jakub Konstantyn,Korona Kielce,pomocnik,13,1,-,-,13,1,-,-
Leonardo Rocha,Radomiak Radom,napastnik,13,0,30.04.2023,Śląsk,13,0,30.04.2023,Śląsk
