ZAWODNIK,KLUB,GOLE,G KARNY,G ROŻNY,G WOLNY,G WOLNY BEZP,G AUT,AS SFG,PO SFG,Z GRY,%GOLI PO SFG
Mateusz Czyżycki,Warta Poznań,0,0,0,0,0,0,0,0,0,-
Jakub Kałuziński,Lechia Gdańsk,0,0,0,0,0,0,0,0,0,-
Adam Ratajczyk,Zagłębie Lubin,0,0,0,0,0,0,0,0,0,-
Daniel Bielica,Warta Poznań,0,0,0,0,0,0,0,0,0,-
Kenny Saief,Lechia Gdańsk,0,0,0,0,0,0,0,0,0,-
Gerard Badia,Piast Gliwice,0,0,0,0,0,0,3,0,0,-
Jan Sykora,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Angel Garcia,Wisła Płock,0,0,0,0,0,0,0,0,0,-
Gergo Kocsis,Podbeskidzie,0,0,0,0,0,0,1,0,0,-
Kamil Kościelny,Stal Mielec,0,0,0,0,0,0,1,0,0,-
Robert Dadok,Stal Mielec,0,0,0,0,0,0,0,0,0,-
Jakub Żubrowski,Zagłębie Lubin,0,0,0,0,0,0,1,0,0,-
Giannis Massouras,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
Santeri Hostikka,Pogoń Szczecin,0,0,0,0,0,0,0,0,0,-
Jakub Wójcicki,Zagłębie Lubin,0,0,0,0,0,0,0,0,0,-
Michael Gardawski,Cracovia,0,0,0,0,0,0,0,0,0,-
Gieorgij Żukow,Wisła Kraków,0,0,0,0,0,0,0,0,0,-
Tomas Huk,Piast Gliwice,0,0,0,0,0,0,0,0,0,-
Hubert Sobol,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Michał Mak,Wisła Kraków,0,0,0,0,0,0,0,0,0,-
Piotr Tomasik,Wisła Płock,0,0,0,0,0,0,1,0,0,-
Giorgi Merebaszwili,Wisła Płock,0,0,0,0,0,0,0,0,0,-
Dawid Szot,Wisła Kraków,0,0,0,0,0,0,1,0,0,-
Xavier Dziekoński,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Arkadiusz Pyrka,Piast Gliwice,0,0,0,0,0,0,0,0,0,-
Tomasz Jodłowiec,Piast Gliwice,0,0,0,0,0,0,0,0,0,-
Petar Mamić,Podbeskidzie,0,0,0,0,0,0,1,0,0,-
Peter Wilson,Podbeskidzie,0,0,0,0,0,0,0,0,0,-
Richmond Boakye,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
Zan Medved,Wisła Kraków,0,0,0,0,0,0,0,0,0,-
Kacper Rogoziński,Wisła Płock,0,0,0,0,0,0,0,0,0,-
Jan Biegański,Lechia Gdańsk,0,0,0,0,0,0,0,0,0,-
Kristian Vallo,Wisła Płock,0,0,0,0,0,0,0,0,0,-
Michał Rostkowski,Górnik Zabrze,0,0,0,0,0,0,1,0,0,-
Filip Modelski,Podbeskidzie,0,0,0,0,0,0,0,0,0,-
Ariel Borysiuk,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Albin Granlund,Stal Mielec,0,0,0,0,0,0,0,0,0,-
Nikola Kuveljić,Wisła Kraków,0,0,0,0,0,0,0,0,0,-
Bartosz Rymaniak,Piast Gliwice,0,0,0,0,0,0,0,0,0,-
Artem Szabanow,Legia Warszawa,0,0,0,0,0,0,0,0,0,-
Robert Ivanov,Warta Poznań,0,0,0,0,0,0,0,0,0,-
Luis Mata,Pogoń Szczecin,0,0,0,0,0,0,0,0,0,-
Diego Ferraresso,Cracovia,0,0,0,0,0,0,0,0,0,-
Jarosław Jach,Raków Częstochowa,0,0,0,0,0,0,2,0,0,-
Michał Szromnik,Śląsk Wrocław,0,0,0,0,0,0,0,0,0,-
Łukasz Łakomy,Zagłębie Lubin,0,0,0,0,0,0,0,0,0,-
Bartosz Kwiecień,Jagiellonia,0,0,0,0,0,0,0,0,0,-
Marco Tulio,Podbeskidzie,0,0,0,0,0,0,0,0,0,-
Nika Kwekweskiri,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Jesper Karlstrom,Lech Poznań,0,0,0,0,0,0,0,0,0,-
Norbert Wojtuszek,Górnik Zabrze,0,0,0,0,0,0,0,0,0,-
Konrad Gruszkowski,Wisła Kraków,0,0,0,0,0,0,0,0,0,-
Iwo Kaczmarski,Raków Częstochowa,0,0,0,0,0,0,0,0,0,-
