ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Rafał Kujawa,ŁKS Łódź,17,4,"3,029","0,178","0,971","3,029","0,178","0,971",13,0,"0,575","-0,575"
Sandro Kulenović,Legia Warszawa,1,1,"0,055","0,055","0,945","0,055","0,055","0,945",5,0,"0,357","-0,357"
Adam Buksa,Pogoń Szczecin,53,7,"5,570","0,105","1,430","4,070","0,080","0,930",15,4,"1,751","2,249"
Kacper Smoliński,Pogoń Szczecin,1,1,"0,074","0,074","0,926","0,074","0,074","0,926",2,1,"0,346","0,654"
Sławomir Peszko,Lechia Gdańsk,26,3,"2,081","0,080","0,919","2,081","0,080","0,919",14,1,"2,481","-1,481"
Jan Sobociński,ŁKS Łódź,16,2,"1,092","0,068","0,908","1,092","0,068","0,908",9,0,"0,749","-0,749"
Dani Ramirez,ŁKS/Lech,113,10,"8,093","0,072","1,907","5,093","0,047","0,907",101,9,"7,271","1,729"
Łukasz Poręba,Zagłębie Lubin,20,2,"1,130","0,056","0,870","1,130","0,056","0,870",18,0,"1,439","-1,439"
Sasa Zivec,Zagłębie Lubin,78,9,"8,152","0,105","0,848","8,152","0,105","0,848",39,6,"3,476","2,524"
Szymon Matuszek,Górnik Zabrze,13,2,"1,164","0,090","0,836","1,164","0,090","0,836",3,0,"0,222","-0,222"
Jakub Moder,Lech Poznań,65,5,"3,918","0,060","1,082","3,168","0,049","0,832",22,3,"3,059","-0,059"
Joao Amaral,Lech Poznań,30,3,"2,170","0,072","0,830","2,170","0,072","0,830",15,4,"1,852","2,148"
Vamara Sanogo,Legia Warszawa,3,1,"0,175","0,058","0,825","0,175","0,058","0,825",0,0,"0,000","0,000"
Kenny Saief,Lechia Gdańsk,3,1,"0,186","0,062","0,814","0,186","0,062","0,814",5,1,"0,282","0,718"
Grzegorz Kuświk,Wisła Płock,7,2,"1,194","0,171","0,806","1,194","0,171","0,806",7,0,"0,110","-0,110"
Michał Chrapek,Śląsk Wrocław,32,5,"3,699","0,116","1,301","2,199","0,073","0,801",46,3,"2,848","0,152"
Bartosz Bida,Jagiellonia,34,5,"4,202","0,124","0,798","4,202","0,124","0,798",17,1,"1,888","-0,888"
Piotr Malinowski,Raków Częstochowa,12,2,"1,221","0,102","0,779","1,221","0,102","0,779",10,1,"1,244","-0,244"
Daniel Szelągowski,Korona Kielce,9,2,"1,240","0,138","0,760","1,240","0,138","0,760",3,1,"0,640","0,360"
Mateusz Młyński,Arka Gdynia,27,2,"1,243","0,046","0,757","1,243","0,046","0,757",14,3,"1,353","1,647"
Alasana Manneh,Górnik Zabrze,14,1,"0,246","0,018","0,754","0,246","0,018","0,754",23,1,"1,405","-0,405"
Hebert,Wisła Kraków,5,1,"0,263","0,053","0,737","0,263","0,053","0,737",2,0,"0,095","-0,095"
Filip Marković,Śląsk Wrocław,14,2,"1,266","0,090","0,734","1,266","0,090","0,734",7,0,"0,908","-0,908"
