ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Dawid Tkacz,Widzew,15,0,"0,746","0,050","-0,746","0,746","0,050","-0,746",9,0,"0,964","-0,964"
Takuto Oshima,Cracovia,16,0,"0,760","0,048","-0,760","0,760","0,048","-0,760",17,2,"0,988","1,012"
Miłosz Szczepański,Piast,24,0,"0,763","0,032","-0,763","0,763","0,032","-0,763",13,1,"1,082","-0,082"
Bartosz Slisz,Legia,21,0,"0,775","0,037","-0,775","0,775","0,037","-0,775",18,1,"1,121","-0,121"
Marcin Flis,ŁKS,14,0,"0,804","0,057","-0,804","0,804","0,057","-0,804",2,0,"0,034","-0,034"
Afonso Sousa,Lech,19,0,"0,819","0,043","-0,819","0,819","0,043","-0,819",12,1,"0,500","0,500"
Mateusz Czyżycki,Korona,17,1,"1,828","0,108","-0,828","1,828","0,108","-0,828",8,1,"0,635","0,365"
Fran Tudor,Raków,23,0,"1,604","0,070","-1,604","0,854","0,039","-0,854",34,4,"3,888","0,112"
Michał Mokrzycki,ŁKS,26,0,"0,854","0,033","-0,854","0,854","0,033","-0,854",31,2,"2,076","-0,076"
Piotr Malarczyk,Korona,13,0,"0,870","0,067","-0,870","0,870","0,067","-0,870",7,0,"0,295","-0,295"
Erick Otieno,Raków,11,0,"0,871","0,079","-0,871","0,871","0,079","-0,871",10,0,"1,191","-1,191"
Luis Machado,Radomiak,18,1,"1,882","0,105","-0,882","1,882","0,105","-0,882",18,3,"2,084","0,916"
Piotr Mroziński,Puszcza,25,1,"1,923","0,077","-0,923","1,923","0,077","-0,923",19,1,"1,595","-0,595"
John Yeboah,Raków,42,3,"3,934","0,094","-0,934","3,934","0,094","-0,934",30,5,"3,943","1,057"
Gil Dias,Legia,12,0,"0,985","0,082","-0,985","0,985","0,082","-0,985",2,0,"0,127","-0,127"
Rahil Mammadov,ŁKS,11,0,"0,991","0,090","-0,991","0,991","0,090","-0,991",5,0,"0,141","-0,141"
Marton Eppel,Warta,19,2,"2,749","0,145","-0,749","1,999","0,111","-0,999",9,0,"0,426","-0,426"
Kamil Dankowski,ŁKS,25,0,"1,027","0,041","-1,027","1,027","0,041","-1,027",18,2,"2,626","-0,626"
Petr Schwarz,Śląsk,37,3,"4,090","0,111","-1,090","4,090","0,111","-1,090",48,6,"3,220","2,780"
Tomasz Wojcinowicz,Puszcza,7,0,"1,103","0,158","-1,103","1,103","0,158","-1,103",2,0,"0,180","-0,180"
Dario Vizinger,Warta,21,1,"2,123","0,101","-1,123","2,123","0,101","-1,123",16,3,"1,131","1,869"
Muris Mesanović,Puszcza,6,0,"1,135","0,189","-1,135","1,135","0,189","-1,135",5,0,"0,358","-0,358"
Mikkel Maigaard,Cracovia,10,0,"1,227","0,123","-1,227","1,227","0,123","-1,227",4,1,"0,272","0,728"
